date,1. open,2. high,3. low,4. close,5. volume
2020-04-29 13:04:00,90.01,90.06,90.01,90.04,5462.0
2020-04-29 13:05:00,90.03,90.03,89.97,89.97,22317.0
2020-04-29 13:06:00,89.97,89.99,89.95,89.9798,8432.0
2020-04-29 13:07:00,89.98,89.99,89.9044,89.9044,15710.0
2020-04-29 13:08:00,89.9,89.91,89.865,89.89,14569.0
2020-04-29 13:09:00,89.895,89.91,89.885,89.89,5889.0
2020-04-29 13:10:00,89.87,89.94,89.86,89.905,8549.0
2020-04-29 13:11:00,89.9,89.9073,89.85,89.85,5315.0
2020-04-29 13:12:00,89.86,89.86,89.83,89.85,8199.0
2020-04-29 13:13:00,89.8496,89.8496,89.825,89.825,6806.0
2020-04-29 13:14:00,89.8299,89.885,89.82,89.82,5360.0
2020-04-29 13:15:00,89.81,89.83,89.77,89.815,9006.0
2020-04-29 13:16:00,89.81,89.81,89.76,89.76,6199.0
2020-04-29 13:17:00,89.75,89.82,89.745,89.8,6509.0
2020-04-29 13:18:00,89.795,89.82,89.76,89.78,5840.0
2020-04-29 13:19:00,89.79,89.815,89.79,89.795,7559.0
2020-04-29 13:20:00,89.79,89.79,89.7258,89.735,6292.0
2020-04-29 13:21:00,89.725,89.73,89.66,89.66,7837.0
2020-04-29 13:22:00,89.66,89.68,89.64,89.645,5224.0
2020-04-29 13:23:00,89.64,89.655,89.61,89.64,7451.0
2020-04-29 13:24:00,89.6497,89.65,89.615,89.62,4080.0
2020-04-29 13:25:00,89.62,89.64,89.61,89.625,2994.0
2020-04-29 13:26:00,89.625,89.67,89.625,89.65,16216.0
2020-04-29 13:27:00,89.66,89.7,89.65,89.68,10444.0
2020-04-29 13:28:00,89.69,89.69,89.63,89.66,13283.0
2020-04-29 13:29:00,89.64,89.64,89.605,89.63,7616.0
2020-04-29 13:30:00,89.64,89.66,89.605,89.62,8732.0
2020-04-29 13:31:00,89.6,89.62,89.53,89.59,18602.0
2020-04-29 13:32:00,89.5802,89.59,89.5,89.525,14099.0
2020-04-29 13:33:00,89.5205,89.535,89.475,89.475,14783.0
2020-04-29 13:34:00,89.475,89.49,89.39,89.43,13932.0
2020-04-29 13:35:00,89.4275,89.4275,89.34,89.38,6440.0
2020-04-29 13:36:00,89.38,89.39,89.34,89.35,8152.0
2020-04-29 13:37:00,89.345,89.4,89.34,89.385,4559.0
2020-04-29 13:38:00,89.4,89.43,89.385,89.385,4969.0
2020-04-29 13:39:00,89.39,89.39,89.2993,89.31,7310.0
2020-04-29 13:40:00,89.31,89.33,89.2942,89.2942,9638.0
2020-04-29 13:41:00,89.3,89.39,89.3,89.39,10210.0
2020-04-29 13:42:00,89.38,89.38,89.325,89.35,3078.0
2020-04-29 13:43:00,89.34,89.35,89.31,89.33,4948.0
2020-04-29 13:44:00,89.33,89.34,89.29,89.29,7722.0
2020-04-29 13:45:00,89.28,89.28,89.2,89.21,12856.0
2020-04-29 13:46:00,89.2,89.2,89.12,89.12,8006.0
2020-04-29 13:47:00,89.11,89.12,89.03,89.05,32934.0
